user_id,current_ranking,first_name,surname,gender,date_of_birth,email,phone,postcode,country,last_log_on_date,last_log_on_time,joined_on,account_credit,address
WBC88XPE6LP,70,Colby,Burks,Male,10/07/1983,rutrum.non@aol.org,1-704-685-7028,6723 EV,Peru,11/11/2023,03:23,29/11/2018,$121.31,460-8248 Tempor Rd.
RDS11RXM7WY,95,Reuben,Morse,Male,07/11/1985,posuere.cubilia@google.com,(246) 546-7242,8450,Philippines,30/10/2023,08:03,05/08/2017,$21.82,676-3178 Urna Rd.
FNO15QZA3TB,31,Signe,Francis,Female,01/08/1989,nec.tempus@hotmail.couk,(716) 813-3675,14719,Vietnam,01/02/2023,08:39,03/09/2018,$116.36,Ap #534-815 Mattis Avenue
HNM97NJH6NP,28,Lev,Mcleod,Female,05/06/2000,elit@hotmail.com,1-443-574-5273,55-558,Germany,10/09/2023,04:33,03/02/2020,$14.81,Ap #570-9793 Eu Rd.
MIH77ICR6QP,24,Remedios,Odom,Other,28/12/1988,nibh.quisque.nonummy@icloud.com,1-171-650-9480,11649,Italy,13/08/2023,02:41,08/09/2022,$123.71,Ap #320-8549 Neque. St.
PHX40BFF3WO,23,Tashya,Crosby,Other,23/05/2001,gravida.aliquam@aol.edu,(914) 361-0138,IP0 7DG,South Korea,25/07/2023,22:47,13/12/2021,$38.05,Ap #710-4660 Nullam Road
TEE62QJX2SJ,136,Evelyn,Mccarty,Male,26/11/1983,arcu.morbi.sit@aol.net,1-818-547-1552,165810,Peru,28/04/2023,13:01,14/11/2022,$29.75,8350 A Street
QSR32PYO8NY,63,Rinah,Sutton,Male,13/12/2000,torquent.per@outlook.ca,(575) 422-1686,50154,Austria,29/03/2023,06:46,26/05/2021,$74.05,"P.O. Box 262, 690 Suspendisse St."
OFV53LRD4EP,44,Chandler,Walters,Female,22/08/1976,ullamcorper@hotmail.com,1-595-477-5894,78377,Philippines,10/03/2023,08:07,18/03/2018,$79.39,"P.O. Box 633, 182 Scelerisque Street"
KMW31DFX1GN,142,Myles,Newman,Female,23/12/1990,faucibus.morbi@outlook.org,1-450-288-4667,4266,New Zealand,17/10/2023,10:31,06/09/2017,$68.27,"353-9761 A, Street"
SPJ19FQR6VS,133,Noel,Ruiz,Other,04/11/1987,et.euismod.et@outlook.couk,(245) 461-7646,12764,China,28/01/2023,12:25,03/08/2023,$65.92,886-2221 Nec Av.
HEK58PFM6FU,116,Axel,Richardson,Other,05/07/1987,magna@google.ca,(727) 951-3815,21455,Spain,10/03/2023,05:01,12/05/2021,$105.38,502-3972 Mi Rd.
USW76OZP7QL,5,Kylan,Lewis,Male,18/01/1982,vitae.nibh.donec@yahoo.net,1-120-775-2373,869373,Russian Federation,25/05/2023,00:07,14/10/2019,$133.45,160-3378 Felis Road
GXH70RJK1CG,74,Dane,Middleton,Male,03/04/1992,velit@aol.org,(500) 428-1755,JP9S 2XH,United Kingdom,01/10/2023,21:59,01/11/2019,$19.30,369-9260 Tristique Road
